artifact	package	version	declared_license	location	license_notice_files
text-tools-server	jaconv	1.1.2	MIT	node_modules/jaconv	LICENSE
text-tools-server	vscode-jsonrpc	8.2.0	MIT	node_modules/vscode-jsonrpc	License.txt,thirdpartynotices.txt
text-tools-server	vscode-languageserver	9.0.1	MIT	node_modules/vscode-languageserver	License.txt,thirdpartynotices.txt
text-tools-server	vscode-languageserver-protocol	3.17.5	MIT	node_modules/vscode-languageserver-protocol	License.txt,thirdpartynotices.txt
text-tools-server	vscode-languageserver-textdocument	1.0.12	MIT	node_modules/vscode-languageserver-textdocument	License.txt,thirdpartynotices.txt
text-tools-server	vscode-languageserver-types	3.17.5	MIT	node_modules/vscode-languageserver-types	License.txt,thirdpartynotices.txt
text-tools-proofreading-server	@azu/format-text	1.0.2	BSD-3-Clause	node_modules/@azu/format-text	
text-tools-proofreading-server	@azu/style-format	1.0.1	WTFPL	node_modules/@azu/style-format	LICENSE
text-tools-proofreading-server	@babel/code-frame	7.29.7	MIT	node_modules/@babel/code-frame	LICENSE
text-tools-proofreading-server	@babel/helper-validator-identifier	7.29.7	MIT	node_modules/@babel/helper-validator-identifier	LICENSE
text-tools-proofreading-server	@cacheable/memory	2.2.0	MIT	node_modules/@cacheable/memory	LICENSE
text-tools-proofreading-server	@cacheable/utils	2.5.0	MIT	node_modules/@cacheable/utils	LICENSE
text-tools-proofreading-server	@keyv/bigmap	1.3.1	MIT	node_modules/@keyv/bigmap	LICENSE
text-tools-proofreading-server	@keyv/serialize	1.1.1	MIT	node_modules/@keyv/serialize	LICENSE
text-tools-proofreading-server	@kvs/env	2.2.2	MIT	node_modules/@kvs/env	LICENSE
text-tools-proofreading-server	@kvs/indexeddb	2.2.2	MIT	node_modules/@kvs/indexeddb	LICENSE
text-tools-proofreading-server	@kvs/node-localstorage	2.2.2	MIT	node_modules/@kvs/node-localstorage	LICENSE
text-tools-proofreading-server	@kvs/storage	2.2.2	MIT	node_modules/@kvs/storage	LICENSE
text-tools-proofreading-server	@kvs/types	2.2.2	MIT	node_modules/@kvs/types	LICENSE
text-tools-proofreading-server	@modelcontextprotocol/core	2.0.0	MIT	node_modules/@modelcontextprotocol/core	LICENSE
text-tools-proofreading-server	@modelcontextprotocol/server	2.0.0	MIT	node_modules/@modelcontextprotocol/server	LICENSE
text-tools-proofreading-server	@textlint/ast-node-types	15.8.0	MIT	node_modules/@textlint/ast-node-types	LICENSE
text-tools-proofreading-server	@textlint/ast-tester	15.8.0	MIT	node_modules/@textlint/ast-tester	LICENSE
text-tools-proofreading-server	@textlint/ast-traverse	15.8.0	MIT	node_modules/@textlint/ast-traverse	LICENSE
text-tools-proofreading-server	@textlint/config-loader	15.8.0	MIT	node_modules/@textlint/config-loader	LICENSE
